,age,合計,大型,中型,普通,大特,けん引,小計,大型.1,中型.1,準中型,普通.1,大特.1,大自二,普自二,小特,原付,けん引.1,小計.1,cumsum,percent
41,５７,1363160,20503,14746,790,26,11,36076,87346,1215427,10809,1773,17,137,1270,42,10263,0,1327084,29299173,0.355940423998725
42,５８,1360150,20498,15739,747,25,11,37020,88292,1210917,10493,1695,17,105,1086,38,10487,0,1323130,27936013,0.33938010168593813
43,５９,1357442,20253,16924,675,28,5,37885,88331,1207546,9865,1660,22,154,930,44,11005,0,1319557,26575863,0.322856346298649
44,６０,1358005,20019,17988,719,35,10,38771,88231,1207545,9222,1584,11,284,831,48,11478,0,1319234,25218421,0.30636548899582766
45,６１,1259875,19294,18004,603,19,8,37928,81679,1117750,8459,1419,19,291,712,50,11568,0,1221947,23860416,0.2898677920986357
46,６２,1311365,20153,20046,484,31,14,40728,83902,1162529,8068,1452,19,339,779,72,13477,0,1270637,22600541,0.2745622255665908
47,６３,1332311,20193,22205,380,16,15,42809,86113,1177842,7779,1384,22,465,696,84,15117,0,1289502,21289176,0.2586311337874103
48,６４,1322101,20517,23847,310,28,10,44712,87662,1162389,7350,1260,30,660,594,108,17336,0,1277389,19956865,0.24244557994129443
49,６５,1350438,21036,26417,256,25,11,47745,90259,1182239,7094,1336,33,803,633,109,20187,0,1302693,18634764,0.22638406207834524
50,６６,1403627,22672,29525,177,23,4,52401,93849,1223595,7054,1392,30,888,668,139,23611,0,1351226,17284326,0.2099782927310674
51,６７,1432802,23788,32947,153,34,10,56932,97646,1241148,6606,1490,34,900,665,216,27165,0,1375870,15880699,0.19292635786874013
52,６８,1500511,26168,37329,109,40,11,63657,103543,1292280,6509,1574,40,925,645,240,31098,0,1436854,14447897,0.17551999109564992
53,６９,1650536,29341,43560,89,36,19,73045,119523,1410047,6674,1798,54,1038,868,341,37148,0,1577491,12947386,0.15729106287454447
54,７０,1566807,28507,42874,54,30,11,71476,121650,1324885,6471,1897,32,952,1118,463,37863,0,1495331,11296850,0.13723955890666253
55,７１,1468907,27186,42454,39,43,11,69733,118644,1233312,5959,1932,49,844,1194,525,36715,0,1399174,9730043,0.11820523504010937
56,７２,941447,18227,27544,18,27,9,45825,75795,788326,3688,1256,22,523,779,458,24775,0,895622,8261136,0.10036024738824986
57,７３,768676,15832,22351,15,20,7,38225,62187,641662,2879,974,21,368,687,527,21146,0,730451,7319689,0.08892309711945806
58,７４,912805,20538,26690,7,23,11,47269,76222,755897,3366,1278,13,455,980,807,26518,0,865536,6551013,0.07958485192879537
59,７５,826389,19221,23574,7,27,5,42834,66601,685762,3104,1739,10,453,1026,840,24020,0,783555,5638208,0.06849565843080292
